id,portal,title,status,tokens,error,scope_summary,project_program,financing_instrument,bid_process_type,contract_duration_months,eligibility_summary,specific_areas,submission_process
2570,worldbank,Istanbul North Rail Crossing Project,ok,2266,,"The assignment involves providing construction supervision consulting services for civil works under the Istanbul North Rail Crossing Project. The selected consulting firm will oversee the design and construction of railway works, including electrification, signalization, and telecommunication systems. The project is located in Istanbul, Türkiye. Consultants must demonstrate relevant experience in transport engineering and railway construction supervision. The assignment requires compliance with FIDIC Contract Conditions and emphasizes the importance of specific experience in similar projects.",Istanbul North Rail Crossing Project — Loan No. 9943-TR,loan,eoi_only,,"• Min 10 yrs experience in transport engineering consulting
• Similar projects completed in last 10 yrs
• Must provide own qualifications, not those of affiliates
• Joint Ventures allowed with explanation of roles","{""tags"": [""transport""], ""lots"": null}","Consultants must submit their Expression of Interest (EOI) demonstrating qualifications and experience. The submission should include incorporation documents, brochures, and completed Form-1 detailing similar contracts. The EOI must be submitted in electronic format, and associations are permitted with required explanations."
3724,worldbank,Accelerating Sustainable Energy Transition Program,ok,1742,,"The ASEAN Centre for Energy is seeking to hire an Administrative and Technical Assistant for the APG Program as part of the Clean Energy and Power Trade Development in Southeast Asia Project. The consultant will provide services that require relevant qualifications and experience, including a curriculum vitae and three references. The position is full-time and will last approximately 36 months from the contract signing date. The selection will follow a competitive process according to World Bank procurement regulations.",Clean Energy and Power Trade Development in Southeast Asia Project — MPA ASET (P181555),loan,eoi_only,36,"• Relevant qualifications required
• Experience in similar assignments
• 3 professional references required","{""tags"": [], ""lots"": null}","Interested applicants should submit their Expressions of Interest via email, including a cover letter, CV, and supporting documents. Submissions must be made by 6th May at 00:00 hours WIB."
525,worldbank,Indonesia Health Systems Strengthening Project,ok,1833,,"The procurement involves the acquisition of echocardiography equipment as part of the Indonesia Health Systems Strengthening Project. The main tasks include the delivery of the equipment and compliance with the specifications outlined in the bidding documents. The project is located in Indonesia, specifically under the Ministry of Health. Bids must adhere to the World Bank's procurement regulations and will be evaluated based on technical and financial criteria. The beneficiary of this procurement is the Ministry of Health of the Republic of Indonesia.",Indonesia Health Systems Strengthening Project — Loan No. 9626-ID (IBRD) and L0787A (AIIB),loan,two_envelope,,"• Open to all eligible Bidders as defined in the Procurement Regulations
• Must comply with World Bank's Procurement Regulations
• Bids must include a Bid Securing Declaration","{""tags"": [""health""], ""lots"": null}","Bids must be delivered physically to the Purchaser's address on or before May 6, 2026, at 10:00 AM Western Indonesia time. The outer envelopes should be marked 'ORIGINAL BID' and the inner envelopes 'TECHNICAL PART'. Late bids will be rejected."
2669,worldbank,Primary Education Quality Improvement Project,ok,2581,,"La présente demande de cotations concerne la construction de l'École Primaire (EP) MULUNDA, située dans la Sous-division de LUEBO 2, Province éducationnelle Kasaï 1. Les travaux incluent la construction de bâtiments scolaires et d'ouvrages associés, conformément aux spécifications techniques et aux plans décrits dans le dossier de demande de cotations. Le délai maximum d'exécution des travaux est de six mois. Les offres doivent être soumises en langue française et respecter les exigences de présentation. Le maître d'ouvrage est le Ministère de l'Éducation nationale et Nouvelle Citoyenneté (MINEDU-NC).",Projet d'Amélioration de la Qualité de l'Enseignement Primaire (PEQIP) - Don No TF0C3496,grant,single_envelope,6,"• Documents administratifs et fiscaux requis
• Personnel clé qualifié
• Expérience dans 2 marchés similaires
• Capacité financière de 30 000 USD","{""tags"": [""education""], ""lots"": null}","Les offres doivent être rédigées en langue française, présentées en un (1) original et quatre (4) copies, et déposées au plus tard le 06 mai 2026 à 11h00, heure locale de Kinshasa. La soumission par voie électronique n'est pas autorisée. Les plis doivent porter les mentions obligatoires indiquées dans l'avis."
2267,worldbank,OECS Data for Decision Making (DDM) Project,ok,2324,,"The consultancy aims to prepare an analytical report on migration trends and the demographic, socio-economic, and spatial characteristics of immigrants and emigrants in the OECS Member States. The report will inform public policy and decision-making in Grenada, St. Lucia, and St. Vincent and the Grenadines. The assignment is expected to be completed within a six-month period. Consultants are required to demonstrate relevant qualifications and experience in similar assignments. The deliverables will include a comprehensive analysis and recommendations based on the findings.",OECS Data for Decision Making (DDM) Project — Grant No.: IDA – E0360,grant,eoi_only,6,"• Relevant qualifications and experience required
• Demonstrated experience in similar assignments
• Submission of Curriculum Vitae and samples of work
• Compliance with World Bank's Procurement Regulations","{""tags"": [""governance""], ""lots"": null}","Expressions of Interest must be submitted electronically via email. Submissions should include the name and address of the Consultant and be clearly marked in the subject line. The deadline for submission is May 06, 2026."
2682,worldbank,DRC Digital Transformation Project,ok,2479,,"Le projet consiste à élaborer un plan directeur e-Gouvernement en République Démocratique du Congo. Les principales tâches incluent l'élaboration de la Stratégie nationale e-Gouvernement 2025–2030, la gouvernance et l'organisation de l'e-Gouvernement, ainsi que la réingénierie des processus. Le consultant devra également organiser des ateliers nationaux pour la validation des livrables. La mission commence en novembre 2026 et durera huit mois. Le bénéficiaire est l'Unité de Gestion du Projet au sein du Ministère des Postes et Télécommunications.",Stratégie nationale sur l'e-Gouvernement — P180496,loan,eoi_only,8,"• Min 10 ans d'expérience en TIC et économie numérique
• 3 références pour missions similaires
• Expertise en recherche qualitative et quantitative
• Connaissance du développement en Afrique subsaharienne
• Expérience en RDC est un avantage","{""tags"": [""digital""], ""lots"": null}","Les Manifestations d'Intérêt doivent être déposées physiquement à l'adresse indiquée, accompagnées d'une version électronique en format Word ou Pdf sur une clé. La soumission doit être en langue française."
2685,worldbank,Primary Education Quality Improvement Project,ok,2722,,"Le marché concerne la construction de l'École Primaire (EP) MIKOPE NDJARE, située dans la Sous-division ILEBO 3, Province éducationnelle Kasaï 2. Les travaux incluent la construction de bâtiments scolaires et d'ouvrages associés, conformément aux spécifications techniques et aux plans décrits dans le Dossier de Demande de Cotations. Le délai maximum d'exécution des travaux est de six mois. Les offres doivent être soumises en langue française et respecter les exigences de présentation. Le bénéficiaire est le Ministère de l'Éducation nationale et Nouvelle Citoyenneté (MINEDU-NC).",Projet d'Amélioration de la Qualité de l'Enseignement Primaire (PEQIP) - Don No TF0C3496 ‑ ZR,grant,single_envelope,6,"• Documents administratifs et fiscaux requis
• Personnel clé qualifié
• Expérience dans 2 marchés similaires
• Capacité financière d'au moins 30 000 USD","{""tags"": [""education""], ""lots"": null}","Les offres doivent être rédigées en langue française, présentées en un (1) original et quatre (4) copies, et déposées au plus tard le 06 mai 2026 à 11h00, heure locale de Kinshasa. La soumission électronique n'est pas autorisée. Les plis doivent porter les mentions obligatoires et seront ouverts le 06 mai 2026 à 11h30 en séance publique."
2672,worldbank,Support to Resilient and Sustainable Social Protection in Jordan,ok,1760,,The consulting services involve hiring individual consultants for the Support to Resilient and Sustainable Social Protection Program in Jordan. The services include roles such as NSPS Implementation Support Unit Manager and Senior Officers for various initiatives. Consultants are required to demonstrate their qualifications and relevant experience as outlined in the Terms of Reference. The program is financed by the World Bank and aims to enhance social protection in Jordan. Interested consultants must not be current government officials.,Support to Resilient and Sustainable Social Protection Program in Jordan,loan,eoi_only,,"• Must be an individual consultant
• Relevant qualifications and experience required
• Not currently a government official","{""tags"": [""governance""], ""lots"": null}",Expressions of Interest and CVs must be submitted via email. The email subject line should clearly indicate the consulting service title and reference number. Submissions are due before 6 May 2026 at 11:59 PM.
2576,worldbank,Getting Results: Access and Delivery of quality Education Services and System Transformation in Punj,ok,2091,,"The procurement involves the acquisition of Students Learning Kits and Institutional Center Kits/Equipment for the Punjab Education Sector Reform Programme. The main tasks include supplying student learning kits, school furniture and fixtures, school stationery, and water coolers. The geographic scope is Punjab, Pakistan. Bidders must comply with the World Bank's Procurement Regulations. The beneficiary of this procurement is the Programme Monitoring & Implementation Unit (PMIU-PESRP).",Getting Result: Access and Delivery of quality Education Services and System Transformation in Punjab (GRADES-STP) - TC-C9525,loan,single_envelope,,"• Relevant experience required
• Open to all eligible bidders as per Procurement Regulations
• Bid Security @ 2% of bid price required","{""tags"": [""education""], ""lots"": [{""lot_number"": 1, ""lot_ref"": null, ""description"": ""Student Learning Kits""}, {""lot_number"": 2, ""lot_ref"": null, ""description"": ""School Furniture & Fixture""}, {""lot_number"": 3, ""lot_ref"": null, ""description"": ""School Stationery and Other Items""}, {""lot_number"": 4, ""lot_ref"": null, ""description"": ""Water Cooler with Stand""}]}","Bids must be delivered in physical format to the specified address on or before 1130 hours May 06, 2026. Electronic bidding is not permitted. Late bids will be rejected, and bids will be publicly opened on the same date in the presence of designated representatives."
313,worldbank,"One Health for Pandemic Prevention, Food Systems Resilience, and Ecosystem Health in Central Asia",ok,2044,,The procurement involves acquiring 10 specialized vehicles for the State Institution 'Specially Protected Natural Areas' under the Committee for Environmental Protection of the Republic of Tajikistan. The vehicles are intended to enhance the institution's capabilities in managing protected natural areas. Bidding is open to all eligible bidders as per the World Bank's procurement regulations. The bidding process is competitive and requires sealed bids to be submitted by the specified deadline. The successful bidder will need to comply with the regulations regarding beneficial ownership disclosure.,One Health for Pandemic Prevention Food Systems Resilience and Ecosystem Health in Central Asia — Grant No. E452-TJ,grant,single_envelope,,"• Open to all eligible bidders
• Compliance with World Bank procurement regulations
• Bid security required","{""tags"": [], ""lots"": null}","Bids must be delivered physically to the specified address by May 6, 2026, at 14:00 hrs. Electronic bidding is not permitted. Bids will be publicly opened shortly after the submission deadline in the presence of designated representatives."
