title,portal,current_db_group,predicted_group,decided_by,needs_groq,nlp_gap
PROVISION AND INSTALLATION OF 70-UNIT SOLAR STREET LIGHT AT NIGER MASS HOUSING,undp,WORKS,WORKS,NLP,False,0.1431
"AGENCE DE COMMUNICATION POUR PRODUCTION ""SUCCESS STORY"" DU PROJET FIER",undp,Others,CONSULTING,NLP,False,0.0442
Long–Term Agreement for engineering design services in Serbia (mid-value),undp,Others,CONSULTING,NLP,False,0.0631
"GED-RFQ-Supply, delivery, and installation of a Faraday Cage",undp,WORKS,WORKS,Layer 1,False,1.0
IC - Grievance Redressal Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
026- Energy Finance Expert (National),undp,CONSULTING,CONSULTING,NLP,False,0.1547
IC Position - Mid Term Evaluation Consultant,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Local IC to Revise the Digital Literacy Guide for the Maldives,undp,Others,CONSULTING,NLP,True,0.019
Consultant to support SME Development and Financing,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
GEA-Gender Equality Seal Expert (Cluster 2),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
022- Junior consultant for Carbon market,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC - Gender Expert for Gender Inclusive Public Procurment,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
IC- International Consultant for Developing priority Standard Operating Procedur,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
NC to review policies to develop guidelines and training materials,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Gender Equality & Importance of Education Trainings,undp,Others,CONSULTING,Layer 1,False,1.0
Provision of Consultancy Services for Design and Development of an Incubation,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Procurement Of Residential Conference Package,undp,GOODS,GOODS,NLP,False,0.0353
Procurement of 13 Specialized Vans (3 Lots),undp,GOODS,GOODS,Layer 1,False,1.0
Furniture for the SESU modular training centre in Cherkasy,undp,Others,GOODS,Layer 1,False,1.0
Action Research&Technical Advice to Foster Inclusive&Sustainable Urban Dev.,undp,CONSULTING,CONSULTING,NLP,False,0.0669
Call for Proposals Completion of a Context & Climate Security Analysis Beng&Der,undp,CONSULTING,CONSULTING,NLP,False,0.0991
"Construction Package01 Flood Control,Soil Erosion Protection,WadiTraining-Taiz",undp,WORKS,WORKS,NLP,False,0.2418
CONSULTANCY FIRM To Establish a Digital Trade Governance Framework,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
CONTRATACIÓN DE UNA EMPRESA PARA LA INSTALACION DE EQUIPOS MEDICOS,undp,GOODS,GOODS,NLP,False,0.0245
Creation of Electronic Learning Management System on anti-corruption legislation,undp,CONSULTING,CONSULTING,NLP,False,0.0928
Disbursement of Grants to Market Traders to foster stabilization in NE Nigeria.,undp,Others,CONSULTING,NLP,True,0.0202
Expert Roster Circular Economy Technical Experts,undp,CONSULTING,CONSULTING,NLP,False,0.1153
Final Evaluation of the Eastern Regional Joint Programme (JP),undp,CONSULTING,CONSULTING,NLP,False,0.1288
GEA-Consultant for preparation of strategy implementation documents (Cluster 1),undp,CONSULTING,CONSULTING,Layer 1,False,1.0
027- National Consultant on Carbon Market Programme Development,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
INT/001 - International Carbon Market Expert on ITMO (International IC),undp,CONSULTING,CONSULTING,NLP,False,0.0657
IMPRESSION DE 4000 EXEMPLAIRES POUR LA FORMATION DES ASE,undp,CONSULTING,NON-CONSULTING,Layer 1,False,1.0
International Evaluation Expert to Conduct Final Project Evaluation of the Creat,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
"Capital repair and modernization of the “Emil Necula"" Lyceum",undp,WORKS,GOODS,NLP,False,0.022
Supply & Delivery of One (1) Backhoe Loader with Extended,undp,GOODS,GOODS,Layer 1,False,1.0
"Rehabilitation of Zokak El Blat Shelter in Beirut, Lebanon",undp,WORKS,WORKS,Layer 1,False,1.0
Local Evaluation Expert to Conduct Final Project Evaluation of the Creative Indu,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Local Firm for design and delivery of training and mentoring,undp,GOODS,CONSULTING,NLP,False,0.1933
National AI Literacy and Applied Skills Training,undp,Others,CONSULTING,NLP,False,0.1228
National Civil Engineer for Global Fund Project,undp,CONSULTING,CONSULTING,NLP,False,0.0553
Purchase and delivery of refrigerated vehicles and machinery,undp,GOODS,GOODS,Layer 1,False,1.0
RECRUTEMENT D'UN(e) CONSULTANT(e ) NATIONAL(E) ELABORATION DE LA STRATEGIE JEUNE,undp,CONSULTING,CONSULTING,Layer 1,False,1.0
Rehabilitation of Atauro Solar-Powered Water Supply Network,undp,WORKS,WORKS,Layer 1,False,1.0
Supply and Delivery of Sewing Machine and Accessories in Caloocan City,undp,GOODS,GOODS,Layer 1,False,1.0
Supply of ICT and Connectivity Equipment - National Firms,undp,GOODS,GOODS,Layer 1,False,1.0
"""Asistencia Técnica Modelo Proceso Téc. Archivístico"" CI 3594/26",undp,CONSULTING,CONSULTING,Layer 1,False,1.0
AGENCIA OPERADORA DE EVENTOS,undp,Others,NON-CONSULTING,NLP,True,0.0136
Seguro Vehículos UNAH,undp,NON-CONSULTING,NON-CONSULTING,Layer 1,False,1.0
RÉALISATION DES FORAGES ET OUVRAGES COMMUNAUTAIRES D’ALIMENTATION,undp,WORKS,WORKS,Layer 1,False,1.0
Внутренняя и наружная уборка на территории здания ООН в г. Алматы,undp,Others,WORKS,NLP,False,0.0884
Agri-Tech firm to foster climate adaptation in the Cassava Value Chain.,undp,Others,CONSULTING,NLP,False,0.0362
