id,tender_id,source_portal,title_clean,country_name_normalized,sector,procurement_group,budget,currency,days_to_deadline,status_normalized,lifecycle_stage,notice_type_normalized,procurement_method_name,organisation_name,funding_agency,enrichment_status,go_no_go,score_breakdown
12089,1,worldbank,Mozambique Safer Roads for Socio-Economic Integration Program,Mozambique,"[""Social Protection & Poverty Reduction""]",WORKS,500000.0,USD,49,open,procurement,Invitation for Bids,Request for Bids,National Road Authority,World Bank,nlp_complete,0,"proc_group=WORKS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=medium(460,000€)(2.0) | country=Mozambique(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=49d(normal=1.0) | TOTAL=0.0 → NO GO (disqualified)"
12090,2,worldbank,"Promoting a more Equitable, Sustainable and Safer Education",Haiti,"[""Education & Training""]",GOODS,,,1,open,procurement,Invitation for Bids,Request for Bids,UGP-MENFP,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Education & Training(1.0) | budget=unknown(1.0) | country=Haiti(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=1d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12091,3,worldbank,Electricity Distribution Efficiency Improvement Project,Pakistan,"[""Energy & Utilities""]",GOODS,,,13,open,procurement,Invitation for Bids,Request for Bids,"Project Implementation Unit, Ministry of Energy (Power Division)",World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=13d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12092,4,worldbank,Balochistan Water Security and Productivity Improvement Project,Pakistan,"[""Water, Sanitation & Waste""]",CONSULTING,,,3,open,procurement,Expression of Interest,Individual Consultant Selection,Balochistan Irrigation Department PIU,World Bank,nlp_complete,0,"proc_group=CONSULTING(3.0) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)"
12093,5,worldbank,Primary Health Care Quality Improvement Program,Kyrgyz Republic,"[""Health & Life Sciences""]",CONSULTING,,,3,open,procurement,Expression of Interest,Individual Consultant Selection,Ministry of Health of KR,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Health & Life Sciences(1.0) | budget=unknown(1.0) | country=Kyrgyz Republic(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12094,6,worldbank,"Bangladesh Sustainable Recovery, Emergency Preparedness and Response Project",Bangladesh,"[""Social Protection & Poverty Reduction"", ""Environment & Climate""]",CONSULTING,,,3,open,procurement,Expression of Interest,Quality and Cost-Based Selection,Local Government Engineering Department,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Bangladesh(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=3d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12095,7,worldbank,West Bank and Gaza Social Recovery and Job Creation Project,Palestinian Territory,"[""Social Protection & Poverty Reduction""]",GOODS,,,9,open,procurement,Invitation for Bids,Request for Bids,Ministry of Planning and International Cooperation,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Social Protection & Poverty Reduction(1.5) | budget=unknown(1.0) | country=Palestinian Territory(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=9d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12096,8,worldbank,China Plastic Waste Reduction Project (Shaanxi),China,"[""Water, Sanitation & Waste""]",GOODS,,,8,open,procurement,Invitation for Bids,Request for Bids,"Foreign Debt Management Office, Shaanxi Provincial DRC",World Bank,nlp_complete,0,"proc_group=GOODS(DISQUALIFIED) | sector=Water, Sanitation & Waste(1.0) | budget=unknown(1.0) | country=China(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=8d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)"
12097,9,worldbank,"Georgia Resilient Agriculture, Irrigation, and Land Project",Georgia,"[""Agriculture & Food Security""]",CONSULTING,150000000.0,USD,11,open,procurement,Expression of Interest,Consultant Qualification  Selection,Ministry of Environmental Protection and Agriculture of Georgia,World Bank,nlp_complete,1,"proc_group=CONSULTING(3.0) | sector=Agriculture & Food Security(1.0) | budget=large(138,000,000€)(3.0) | country=Georgia(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=11d(very_urgent=3.0) | TOTAL=15.0/13.0 → GO"
12098,10,worldbank,"Health Emergency Preparedness, Response and Resilience Program Using the Multiphase Programmatic App",Eastern And Southern Africa,"[""Environment & Climate"", ""Health & Life Sciences""]",CONSULTING,,,6,open,procurement,Expression of Interest,Individual Consultant Selection,Project Fiduciary and Administrative Agency,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=Eastern And Southern Africa(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=6d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12099,11,worldbank,Angola Strengthening Governance for Enhanced Service Delivery Project,Angola,"[""Government Reform & Public Administration""]",CONSULTING,,,10,open,procurement,Expression of Interest,Individual Consultant Selection,Territorial Administration Ministry,World Bank,nlp_complete,1,proc_group=CONSULTING(3.0) | sector=Government Reform & Public Administration(3.0) | budget=unknown(1.0) | country=Angola(tier1=3.0) | funding_agency=World Bank(3.0) | deadline=10d(very_urgent=3.0) | TOTAL=16.0/13.0 → GO
12100,12,worldbank,Unleashing the Blue Economy of the Caribbean (UBEC),Caribbean,"[""Others""]",CONSULTING,,,4,open,procurement,Expression of Interest,Individual Consultant Selection,Ministry of Infrastructure Development and Implementation,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Others(0.0) | budget=unknown(1.0) | country=Caribbean(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=4d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12101,13,worldbank,Sustainable Ecosystem Restoration and Biodiversity Conservation Project,China,"[""Environment & Climate""]",CONSULTING,,,0,open,procurement,Expression of Interest,Consultant Qualification  Selection,Accounting Center of Shanxi Forestry and Grassland Bureau,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Environment & Climate(1.0) | budget=unknown(1.0) | country=China(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=0d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12102,14,worldbank,Electricity Distribution Efficiency Improvement Project,Pakistan,"[""Energy & Utilities""]",GOODS,,,14,open,procurement,Invitation for Bids,Request for Bids,"Project Implementation Unit, Ministry of Energy (Power Division)",World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Energy & Utilities(1.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=14d(very_urgent=3.0) | TOTAL=0.0 → NO GO (disqualified)
12103,15,worldbank,MSME Competitiveness Project,Republic of Moldova,"[""Business Strategy & Performance""]",GOODS,7174.0,DZD,5,open,procurement,Invitation for Bids,Request for Quotations,Project Implementation Unit of the Competitiveness Enhancement Project,World Bank,nlp_complete,0,proc_group=GOODS(DISQUALIFIED) | sector=Business Strategy & Performance(3.0) | budget=small(50€)(0.5) | country=Republic of Moldova(tier2=2.0) | funding_agency=World Bank(3.0) | deadline=5d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
12104,16,worldbank,PK-Sindh Barrages Improvement Project,Pakistan,"[""Others""]",CONSULTING,,,4,open,procurement,Expression of Interest,Individual Consultant Selection,AF of SBIP,World Bank,nlp_complete,0,proc_group=CONSULTING(3.0) | sector=Others(0.0) | budget=unknown(1.0) | country=Pakistan(tier3=1.0) | funding_agency=World Bank(3.0) | deadline=4d(too_urgent=DISQUALIFIED) | TOTAL=0.0 → NO GO (disqualified)
