Rank,Recommendation,P(GO) %,Title,Country,Sector,Procurement,Funding Agency,Budget,Days to Deadline,Model Version,Scored At,Source Portal,Source URL
1,STRONG GO 🟢,88.5%,Africa Think Tank Platform Project,Eastern And Southern Africa,Enterprise IT & Systems Implementation,CONSULTING,World Bank,"50,000,000 USD",10,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440845
2,STRONG GO 🟢,88.1%,Togo Consultant chargé du renforcement des capacités des acteurs de financement et de garantie sur les chaines de valeur,Togo,"Enterprise IT & Systems Implementation, Risk & Compliance",CONSULTING,African Development Bank (AfDB),Unknown,13,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-togo-consultant-charge-du-renforcement-des-capacites-des-acteurs-de-financement-et-de-garantie-sur-les-chaines-de-valeur-pajec
3,STRONG GO 🟢,85.0%,Réalisation des enquêtes intégrées de surveillance biocomportementale,Tunisia,"Cybersecurity & Data Security, Risk & Compliance",CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44690
4,STRONG GO 🟢,84.9%,Cabinet international pour accompagner les jeunes et femmes entrepreneurs en IA,Togo,"Enterprise IT & Systems Implementation, Employment & Skills Development",CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44673
5,STRONG GO 🟢,82.4%,Multinational Development of Digital Agriculture,Multinational,"Enterprise IT & Systems Implementation, Digital Transformation",CONSULTING,African Development Bank (AfDB),Unknown,5,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-multinational-development-digital-agriculture-taat
6,GO 🟡,79.6%,Recrutement d'un cabinet pour la conduite de l'évaluation finale du,Tunisia,Risk & Compliance,CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44810
7,GO 🟡,79.6%,Multinational TAAT II Program and TAAT Program Phase II-Addendum External Audit Consultancy Services,Multinational,Risk & Compliance,CONSULTING,African Development Bank (AfDB),"11,904,314 UA",13,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-multinational-taat-ii-program-and-taat-program-phase-ii-addendum-external-audit-consultancy-services
8,GO 🟡,78.1%,"ORGANISATION DE SERIE DE DIALOGUES ""PARLONS DEVELOPPEMENT 2026""",Madagascar,Risk & Compliance,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44868
9,GO 🟡,78.0%,Cameroon Recruitment of a Local Assistant Procurement Engineer at the JF-RPU/MINTP,Cameroon,Enterprise IT & Systems Implementation,CONSULTING,African Development Bank (AfDB),Unknown,6,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-cameroon-recruitment-local-assistant-procurement-engineer-jf-rpu/mintp
10,GO 🟡,77.0%,Élaboration de procédures et de manuels opérationnels pour les projets,Djibouti,Enterprise IT & Systems Implementation,CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44899
11,GO 🟡,76.9%,MSME Competitiveness Project,Republic of Moldova,Business Strategy & Performance,CONSULTING,World Bank,"7,000,000 USD",6,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441104
12,GO 🟡,75.4%,Design and develop an Incident Reporting Mobile Application,Seychelles,"Marketing & Customer Experience, Data, AI & Analytics",CONSULTING,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44864
13,GO 🟡,75.2%,Empowering Women Entrepreneurs and Upgrading MSMEs for Economic Transformation and Jobs in DRC Proje,Congo,Business Strategy & Performance,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440436
14,GO 🟡,74.5%,Engagement of Firm to design Africansa flagship anchored #Agenda2063.,Ethiopia,Business Strategy & Performance,CONSULTING,United Nations Development Programme (UNDP),Unknown,5,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44837
15,GO 🟡,73.6%,BDI Human Capital Development Project,Burundi,Business Strategy & Performance,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438741
16,GO 🟡,73.5%,"Liberia Consultancy to Develop a Quality Management System (QMS), Workplan for the Climate Information System Project - Liberia CIS Project",Liberia,"Environment & Climate, Enterprise IT & Systems Implementation",CONSULTING,African Development Bank (AfDB),"11,431,969 USD",22,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-consultancy-develop-quality-management-system-qms-workplan-climate-information-system-project-liberia-cis-project-0
17,GO 🟡,73.0%,Liberia International Consultant to Develop Climate Hazards Assessments and National Database - Liberia CIS Project,Liberia,"Environment & Climate, Risk & Compliance",CONSULTING,African Development Bank (AfDB),"11,431,969 USD",22,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-liberia-international-consultant-develop-climate-hazards-assessments-and-national-database-liberia-cis-project-0
18,NO GO 🔴,70.0%,RECRUTEMENT D’UNE INSTITUTION (MICRO) FINANCIÈRE POUR DES SUBVENTIONS EWASME,Senegal,Financial Services,CONSULTING,United Nations Development Programme (UNDP),Unknown,12,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44780
19,NO GO 🔴,68.8%,Algérie Etude de mise en place du rapport annuel du portefeuille de l’État dans les entreprises publiques - Projet d’Assistance Technique,Algérie,"Social Protection & Poverty Reduction, Enterprise IT & Systems Implementation",CONSULTING,African Development Bank (AfDB),Unknown,19,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-algerie-etude-de-mise-en-place-du-rapport-annuel-du-portefeuille-de-letat-dans-les-entreprises-publiques-projet-dassistance-technique
20,NO GO 🔴,68.1%,Appel à proposition des projets pour le programme de Microfinancements FEM,Burundi,Financial Services,CONSULTING,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44581
21,NO GO 🔴,68.1%,Recrutement d’une équipe d’évaluateurs composée d’un(e) consultant(e) principal(e) et d’un(e) assistant (e) consultant(e) pour conduire l’évaluation finale indépendante du projet RAF21/06/USA en Mauritanie et au Niger,Mauritania,Risk & Compliance,CONSULTING,ILO,Unknown,9,2,2026-05-06,ungm,https://www.ungm.org/Public/Notice/299272
22,NO GO 🔴,67.7%,Youth and Women-led Networks as Sustainable and Self-reliant Actors,Kenya,Marketing & Customer Experience,CONSULTING,United Nations Development Programme (UNDP),Unknown,2,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44876
23,NO GO 🔴,66.5%,03254_Dniester2_Company to prepare the Directive Specific Implementation,Republic of Moldova,Enterprise IT & Systems Implementation,CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44482
24,NO GO 🔴,66.1%,Greater Cairo Air Pollution Management and Climate Change Project,Egypt,N/A,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442683
25,NO GO 🔴,66.0%,Mozambique Digital Acceleration Project,Mozambique,Digital Transformation,NON-CONSULTING,World Bank,Unknown,20,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00440556
26,NO GO 🔴,66.0%,Ghana Digital Acceleration Project,Ghana,Digital Transformation,NON-CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00438908
27,NO GO 🔴,66.0%,Development of Detailed Energy Audits (DEA) in FBiH and RS,Bosnia And Herzegovina,Risk & Compliance,CONSULTING,United Nations Development Programme (UNDP),Unknown,6,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44964
28,NO GO 🔴,66.0%,TECHNICAL VERIFICATION OF BOQs AND SUPERVISION OF WORKS IN PRESPA,Republic Of North Macedonia,Risk & Compliance,CONSULTING,United Nations Development Programme (UNDP),Unknown,7,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=44977
29,NO GO 🔴,65.9%,Multinational Technical Assistance for the Establishment of an Early Warning System in the Lake Chad Basin,Multinational,Risk & Compliance,CONSULTING,African Development Bank (AfDB),Unknown,3,2,2026-05-06,afdb,https://www.afdb.org/en/documents/eoi-multinational-technical-assistance-establishment-early-warning-system-lake-chad-basin-parfebalt
30,NO GO 🔴,65.9%,Multinational Sélection d'un cabinet chargé de réaliser l'Audit financier et comptable du projet,Multinational,Risk & Compliance,CONSULTING,African Development Bank (AfDB),Unknown,5,2,2026-05-06,afdb,https://www.afdb.org/en/documents/ami-multinational-selection-dun-cabinet-charge-de-realiser-laudit-financier-et-comptable-du-projet-acrc-fi
31,NO GO 🔴,65.2%,Recrutement d’un Bureau d’Études spécialisé en efficacité énergétiqu,Tunisia,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45134
32,NO GO 🔴,65.2%,Provision of Community‑Based Legal Aid Services in Gharyan through a National NG,Libya,N/A,CONSULTING,United Nations Development Programme (UNDP),Unknown,18,2,2026-05-06,undp,https://procurement-notices.undp.org/view_negotiation.cfm?nego_id=45164
33,NO GO 🔴,64.0%,Mali Connectivity and Road Resilience Project (Mali-NSS),Mali,N/A,CONSULTING,World Bank,Unknown,14,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442693
34,NO GO 🔴,64.0%,Sustainable Cities and Land Project,Cameroon,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00427767
35,NO GO 🔴,64.0%,Senegal: Natural Resources Management Project,Senegal,N/A,CONSULTING,World Bank,Unknown,12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442750
36,NO GO 🔴,64.0%,Angola Strengthening Governance for Enhanced Service Delivery Project,Angola,N/A,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441156
37,NO GO 🔴,64.0%,Digital Transformation for Africa/ Western Africa Regional Digital Integration Program SOP1,Western And Central Africa,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441826
38,NO GO 🔴,64.0%,Burkina Faso Digital Acceleration Project,Burkina Faso,N/A,CONSULTING,World Bank,Unknown,11,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442302
39,NO GO 🔴,64.0%,DRC Transport and Connectivity Development Project,Congo,N/A,CONSULTING,World Bank,Unknown,7,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441837
40,NO GO 🔴,64.0%,Connecting Madagascar for Inclusive Growth,Madagascar,N/A,CONSULTING,World Bank,Unknown,16,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442212
41,NO GO 🔴,64.0%,Burkina Faso Digital Acceleration Project,Burkina Faso,N/A,CONSULTING,World Bank,Unknown,11,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442300
42,NO GO 🔴,64.0%,SADC Regional Statistics Project,Eastern And Southern Africa,N/A,CONSULTING,World Bank,Unknown,4,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442243
43,NO GO 🔴,64.0%,Angola Digital Acceleration Project,Angola,N/A,CONSULTING,World Bank,Unknown,9,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00428575
44,NO GO 🔴,64.0%,Project for Advancing Gender Equality in Tanzania (PAMOJA),United Republic of Tanzania,N/A,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442027
45,NO GO 🔴,64.0%,Gazetted Forests Management Project,Benin,N/A,CONSULTING,World Bank,Unknown,12,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442381
46,NO GO 🔴,64.0%,Senegal Digital Economy Acceleration Project,Senegal,N/A,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441263
47,NO GO 🔴,64.0%,Tanzania Scaling-up Sustainable Marine Fisheries and Aquaculture Management Project (TASFAM),United Republic of Tanzania,N/A,CONSULTING,World Bank,Unknown,5,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442387
48,NO GO 🔴,64.0%,Tanzania Scaling-up Sustainable Marine Fisheries and Aquaculture Management Project (TASFAM),United Republic of Tanzania,N/A,CONSULTING,World Bank,Unknown,2,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442446
49,NO GO 🔴,64.0%,Regional Sahel Pastoralism Support Project II,Western And Central Africa,N/A,CONSULTING,World Bank,Unknown,13,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00442215
50,NO GO 🔴,64.0%,Urban Water Security Project,Mozambique,N/A,CONSULTING,World Bank,Unknown,8,2,2026-05-06,worldbank,https://projects.worldbank.org/en/projects-operations/procurement-detail/OP00441873
